Distance_(cm),O3 ROP GasRxn Total_(mole/cm3-sec),O3 ROP GasRxn#785_(mole/cm3-sec),O3 ROP GasRxn#786_(mole/cm3-sec),O3 ROP GasRxn#787_(mole/cm3-sec),O3 ROP GasRxn#791_(mole/cm3-sec),O3 ROP GasRxn#793_(mole/cm3-sec),O3 ROP GasRxn#797_(mole/cm3-sec),O3 ROP GasRxn#800_(mole/cm3-sec),O3 ROP GasRxn#801_(mole/cm3-sec),O3 ROP GasRxn#802_(mole/cm3-sec),O3 ROP GasRxn#803_(mole/cm3-sec)
       0.0000000000000000,  -5.185396000000000E-006,  -1.344554000000000E-013,       0.0000000000000000,  -1.182106000000000E-013,  -2.227004000000000E-014,       0.0000000000000000,       0.0000000000000000,  -1.296349000000000E-006,  -1.296349000000000E-006,  -1.296349000000000E-006,  -1.296349000000000E-006
      0.02411094000000000,  -9.758254000000000E-006,  -1.365649000000000E-013,   2.198279000000000E-008,  -1.200307000000000E-013,  -2.261469000000000E-014,  -1.550850000000000E-006,  -4.030979000000000E-007,  -1.299724000000000E-006,  -1.299724000000000E-006,  -1.299724000000000E-006,  -1.299724000000000E-006
       0.2491330000000000,  -1.144601000000000E-005,  -1.630740000000000E-013,   2.221022000000000E-008,  -1.428532000000000E-013,  -2.693790000000000E-014,  -1.607530000000000E-006,  -1.809354000000000E-006,  -1.338949000000000E-006,  -1.338949000000000E-006,  -1.338949000000000E-006,  -1.338949000000000E-006
       0.3000000000000000,  -1.150848000000000E-005,  -1.701786000000000E-013,   2.202656000000000E-008,  -1.489571000000000E-013,  -2.809498000000000E-014,  -1.621608000000000E-006,  -1.849339000000000E-006,  -1.348566000000000E-006,  -1.348566000000000E-006,  -1.348566000000000E-006,  -1.348566000000000E-006
       0.6000000000000000,  -1.180838000000000E-005,  -2.201817000000000E-013,   2.109865000000000E-008,  -1.917916000000000E-013,  -3.622213000000000E-014,  -1.709077000000000E-006,  -1.978904000000000E-006,  -1.408103000000000E-006,  -1.408103000000000E-006,  -1.408103000000000E-006,  -1.408103000000000E-006
       0.9000000000000000,  -1.216114000000000E-005,  -2.875743000000000E-013,   2.043799000000000E-008,  -2.492386000000000E-013,  -4.713752000000000E-014,  -1.804144000000000E-006,  -2.091660000000000E-006,  -1.472475000000000E-006,  -1.472475000000000E-006,  -1.472475000000000E-006,  -1.472475000000000E-006
        1.200000000000000,  -1.257253000000000E-005,  -3.791530000000000E-013,   1.996366000000000E-008,  -3.269047000000000E-013,  -6.191579000000000E-014,  -1.907456000000000E-006,  -2.203671000000000E-006,  -1.542049000000000E-006,  -1.542049000000000E-006,  -1.542049000000000E-006,  -1.542049000000000E-006
        1.500000000000000,  -1.303890000000000E-005,  -5.047305000000000E-013,   1.962190000000000E-008,  -4.328423000000000E-013,  -8.210219999999999E-014,  -2.019810000000000E-006,  -2.317070000000000E-006,  -1.617286000000000E-006,  -1.617286000000000E-006,  -1.617286000000000E-006,  -1.617286000000000E-006
        1.800000000000000,  -1.355940000000000E-005,  -6.785856000000000E-013,   1.937833000000000E-008,  -5.787056000000001E-013,  -1.099356000000000E-013,  -2.142119000000000E-006,  -2.433290000000000E-006,  -1.698716000000000E-006,  -1.698716000000000E-006,  -1.698716000000000E-006,  -1.698716000000000E-006
        2.100000000000000,  -1.413548000000000E-005,  -9.217120999999999E-013,   1.921059000000000E-008,  -7.815333000000000E-013,  -1.486925000000000E-013,  -2.275423000000000E-006,  -2.553544000000000E-006,  -1.786941000000000E-006,  -1.786941000000000E-006,  -1.786941000000000E-006,  -1.786941000000000E-006
        2.400000000000000,  -1.476946000000000E-005,  -1.265314000000000E-012,   1.910158000000000E-008,  -1.066504000000000E-012,  -2.032197000000000E-013,  -2.420901000000000E-006,  -2.678827000000000E-006,  -1.882646000000000E-006,  -1.882646000000000E-006,  -1.882646000000000E-006,  -1.882646000000000E-006
        2.700000000000000,  -1.546510000000000E-005,  -1.756299000000000E-012,   1.903925000000000E-008,  -1.471239000000000E-012,  -2.807655000000000E-013,  -2.579884000000000E-006,  -2.810075000000000E-006,  -1.986603000000000E-006,  -1.986603000000000E-006,  -1.986603000000000E-006,  -1.986603000000000E-006
        3.000000000000000,  -1.622678000000000E-005,  -2.466010000000000E-012,   1.901326000000000E-008,  -2.052602000000000E-012,  -3.922946000000000E-013,  -2.753871000000000E-006,  -2.948145000000000E-006,  -2.099679000000000E-006,  -2.099679000000000E-006,  -2.099679000000000E-006,  -2.099679000000000E-006
        3.300000000000000,  -1.705974000000000E-005,  -3.504284000000000E-012,   1.901553000000000E-008,  -2.897575000000000E-012,  -5.545909000000000E-013,  -2.944554000000000E-006,  -3.093915000000000E-006,  -2.222848000000000E-006,  -2.222848000000000E-006,  -2.222848000000000E-006,  -2.222848000000000E-006
